Name,2018
United States,64.9
China,25.0
Saudi Arabia,6.7554666667
India,6.6510289108
France,6.3799676593
Russian Federation,6.138754698
United Kingdom,4.9997192521
Germany,4.9470627811
Japan,4.6617954864
South Korea,4.3069973343
