,Afghanistan,Libya,Pakistan,Syrian Arab Republic,"Yemen, Rep."
2000,,38.27020695041001,73.9523749697995,19.3258949131254,9.652436179646049
2001,,34.1100644521567,72.30973892133291,21.099833783503,9.861560094740092
2002,4.05517693336905,20.4818897637795,72.3068203962325,21.582248881659197,10.6946280916726
2003,4.51556341382564,26.265625,83.2448010927096,21.828144686039398,11.7779666733897
2004,5.22677516330205,33.1223076923077,97.9777661976724,25.086930693069302,13.8727916585487
2005,6.20914004400519,47.334148578416396,109.502102510883,28.8589655172414,16.7463447662044
2006,6.9712867317206495,54.9619366626066,137.26406110604302,33.332844574780104,19.0619785861278
2007,9.747886104532508,67.5162363377158,152.38571631191598,40.405006007208605,21.6505322642322
2008,10.1092180677904,87.1404053612292,170.077814106305,,26.9108513617555
2009,12.4390870767667,63.0283207020343,168.15277528303199,,25.1302741242524
2010,15.8565747314411,74.7734449005368,177.406854514885,,30.906749533221
2011,17.8042805381102,34.6993955236073,213.587413183996,,32.726417878391004
2012,20.001615788671902,81.8736625188238,224.38362082957002,,35.401339869305495
2013,20.5610540903995,65.5028701737831,231.218567178979,,40.4152334361767
2014,20.4848732302111,41.1427224143351,244.360888750807,,43.2285853213272
2015,19.9071114189938,27.842131479872602,270.556126820064,,42.6283282121041
2016,19.3626422666484,26.2216600676697,278.65463773769,,30.9682429677823
2017,20.191764940160198,38.115981878564696,304.95181849406606,,26.818703092585203
2018,19.3629695823643,48.319620013077994,312.570060548453,,26.914402223782798
