,257
1980,364.0
1981,400.0
1984,448.0
1985,474.0
1986,520.0
1987,588.0
1988,627.0
1989,645.0
1990,700.0
1991,685.0
1992,717.0
1993,686.0
1994,695.0
1995,717.0
1996,716.0
1997,714.0
1998,696.0
1999,709.0
2000,730.0
2001,742.0
2002,802.0
2003,937.0
2004,1060.0
2005,1150.0
2006,1190.0
2007,1320.0
2008,1490.0
2009,1550.0
2010,1630.0
2011,1730.0
2012,1740.0
2013,1740.0
2014,1740.0
2015,1640.0
2016,1630.0
2017,1700.0
2018,1780.0
